,,,,,,,,,,,,,,,,
,Split,Croatia,Balkans,Yes,No,£30,£699,£41,£57,£88,3,5,4,15-Aug,Numbeo + Hostelworld (2025),£57
,Stockholm,Sweden,Nordics,Yes,No,£36,£998,£53,£73,£113,,,,17-Aug,,£73
,Tallinn,Estonia,Baltics,Yes,No,£18,£831,£35,£49,£76,3,5,5,15-Aug,Numbeo + Hostelworld (2025),£49
,Tashkent,Uzbekistan,Central Asia,No,Yes,£12,£414,£21,£29,£45,5,3,5,15-Aug,Numbeo + Hostelworld (2025),£29
,Tbilisi,Georgia,Caucasus,No,Yes,£13,£497,£24,£33,£51,5,5,5,15-Aug,Numbeo + Hostelworld (verified Jul 2026),£33
,Thessaloniki,Greece,Balkans,Yes,No,£20,£700,£34,£47,£73,3,4,4,15-Aug,Numbeo + Hostelworld (2025),£47
,Timisoara,Romania,Balkans,Yes,No,£19,£512,£28,£39,£60,,,,18-Aug,,£39
,Tirana,Albania,Balkans,No,Yes,£20,£569,£30,£42,£65,5,4,4,15-Aug,Numbeo + Hostelworld (2025),£42
,Toulouse,France,Western Europe,Yes,No,£25,£838,£40,£56,£87,,,,18-Aug,,£56
,Tromso,Norway,Nordics,Yes,No,£50,"£1,126",£66,£91,£141,2,3,3,15-Aug,Numbeo + Hostelworld (2025),£91
,Turin,Italy,Southern Europe,Yes,No,£32,£772,£44,£61,£95,,,,,,£61
,Valencia,Spain,Southern Europe,Yes,No,£26,£619,£36,£50,£78,3,5,3,15-Aug,Numbeo + Hostelworld (2025),£50
,Varna,Bulgaria,Balkans,Yes,No,£20,£607,£32,£44,£68,,,,18-Aug,,£44
,Venice,Italy,Southern Europe,Yes,No,£23,£922,£41,£57,£88,,,,15-Aug,,£57
,Vienna,Austria,Central Europe,Yes,No,£24,£898,£41,£57,£88,2,4,3,15-Aug,Numbeo + Hostelworld (2025),£57
,Vilnius,Lithuania,Baltics,Yes,No,£19,£667,£32,£45,£70,3,4,4,15-Aug,Numbeo + Hostelworld (2025),£45
,Warsaw,Poland,Central Europe,Yes,No,£18,£696,£32,£45,£70,,,,17-Aug,,£45
,Wroclaw,Poland,Central Europe,Yes,No,£18,£651,£31,£43,£67,4,4,3,15-Aug,Numbeo + Hostelworld (2025),£43
,Yerevan,Armenia,Caucasus,No,Yes,£13,£542,£24,£34,£53,3,3,5,15-Aug,Numbeo + Hostelworld (2025),£34
,Zagreb,Croatia,Balkans,Yes,No,£20,£705,£34,£47,£73,3,4,4,15-Aug,Numbeo + Hostelworld (2025),£47
,Zurich,Switzerland,Central Europe,Yes,No,£58,"£1,399",£78,£108,£167,2,4,3,15-Aug,Numbeo + Hostelworld (verified Jul 2026),£108
